kabupaten,primer_q1,primer_q2,primer_q3,primer_q4,primer_tahun,sekunder_q1,sekunder_q2,sekunder_q3,sekunder_q4,sekunder_tahun,tersier_q1,tersier_q2,tersier_q3,tersier_q4,tersier_tahun,pdrb_q1,pdrb_q2,pdrb_q3,pdrb_q4,pdrb_tahun
Kolaka Utara,1941.83,2164.85,2196.97,2071.70,8375.34,417.01,443.04,537.25,592.11,1989.41,691.86,691.47,748.78,746.78,2878.88,3050.70,3299.35,3483.00,3410.59,13243.64
Buton Utara,528.65,546.85,537.20,559.30,2172.01,202.70,209.87,250.48,267.04,930.09,349.63,359.10,373.61,385.43,1467.77,1080.98,1115.82,1161.29,1211.77,4569.87
Konawe Utara,949.26,973.06,979.62,1036.91,3938.85,160.05,174.08,207.53,255.54,797.20,343.44,350.80,353.25,381.14,1428.62,1452.75,1497.94,1540.40,1673.58,6164.67
Kolaka Timur,838.27,892.41,864.03,887.04,3481.76,195.82,204.82,254.47,278.47,933.58,512.31,523.53,541.47,549.27,2126.58,1546.40,1620.76,1659.97,1714.78,6541.92
Konawe Kepulauan,345.02,378.54,389.47,379.49,1492.52,39.15,40.69,41.36,55.75,176.95,122.61,125.64,128.13,131.99,508.37,506.78,544.87,558.95,567.23,2177.84
Muna Barat,437.85,446.56,475.60,478.04,1838.06,182.74,196.46,221.10,248.89,849.20,250.73,266.74,272.87,288.54,1078.88,871.32,909.77,969.57,1015.48,3766.14
Buton Tengah,363.41,404.43,399.92,406.00,1573.76,150.57,154.08,179.42,190.41,674.48,273.30,286.60,297.86,309.06,1166.82,787.29,845.10,877.21,905.46,3415.06
Buton Selatan,622.33,621.06,606.05,654.95,2504.39,144.12,149.07,179.79,209.11,682.08,218.79,230.18,236.41,238.91,924.28,985.23,1000.31,1022.24,1102.96,4110.74
Kota Kendari,1152.10,1184.10,1098.06,1427.82,4862.07,1719.81,1964.38,2163.83,2317.54,8165.56,4529.56,4582.02,4839.66,5149.69,19100.93,7401.46,7730.51,8101.54,8895.05,32128.56
Kota Baubau,559.12,576.39,608.34,604.54,2348.39,619.48,650.64,757.51,909.65,2937.28,1752.98,1886.57,1994.62,2049.88,7684.06,2931.58,3113.59,3360.47,3564.08,12969.72
Boalemo,958.41,947.30,1055.11,1055.97,4016.79,143.08,143.55,158.09,178.60,623.31,685.19,724.05,716.30,739.57,2865.11,1786.68,1814.90,1929.49,1974.14,7505.21
Gorontalo,1817.05,1789.14,1944.88,1851.31,7402.38,830.87,907.75,874.49,928.60,3541.71,1809.90,1888.72,1896.88,1965.19,7560.68,4457.82,4585.60,4716.25,4745.10,18504.77
Pohuwato,1263.79,1383.71,1413.95,1264.94,5326.39,271.96,266.40,375.74,345.08,1259.18,696.73,713.17,707.30,798.19,2915.39,2232.48,2363.29,2496.98,2408.21,9500.96
Bone Bolango,553.94,554.06,590.97,611.97,2310.94,282.32,284.06,327.49,340.08,1233.96,707.74,743.38,734.67,758.12,2943.90,1544.01,1581.49,1653.13,1710.17,6488.80
Gorontalo Utara,615.40,622.01,648.72,647.02,2533.15,133.17,134.10,162.13,174.79,604.19,390.95,414.40,414.11,426.99,1646.46,1139.53,1170.51,1224.96,1248.80,4783.80
Kota Gorontalo,137.24,148.63,133.50,142.06,561.42,544.00,576.11,606.73,614.38,2341.21,2218.95,2289.41,2313.12,2402.07,9223.55,2900.18,3014.15,3053.34,3158.50,12126.18
Majene,714.38,780.79,791.36,862.19,3148.73,188.36,218.80,214.84,232.80,854.79,753.94,744.39,757.95,790.65,3046.93,1656.68,1743.99,1764.14,1885.64,7050.45
Polewali Mandar,2254.11,2291.01,2394.95,2362.96,9303.03,547.45,595.11,635.50,642.61,2420.67,1848.85,1856.35,1891.72,1985.85,7582.77,4650.41,4742.47,4922.17,4991.42,19306.48
Mamasa,404.01,422.46,396.82,424.35,1647.64,110.86,130.10,157.85,156.51,555.33,462.23,455.83,477.45,491.21,1886.71,977.10,1008.39,1032.12,1072.06,4089.68
Mamuju,1845.48,1999.70,2037.39,2060.72,7943.29,472.18,585.49,653.65,662.33,2373.65,1777.50,1759.74,1815.22,1867.78,7220.24,4095.16,4344.93,4506.26,4590.83,17537.18
Mamuju Utara,2064.65,2574.18,2405.06,2518.78,9562.66,1425.06,1626.50,1575.27,1610.67,6237.49,630.75,646.43,649.35,691.72,2618.24,4120.45,4847.11,4629.67,4821.17,18418.40
Mamuju Tengah,919.94,1039.49,995.21,1015.39,3970.04,120.92,134.29,128.81,129.62,513.64,173.71,177.37,175.66,179.88,706.62,1214.57,1351.15,1299.69,1324.89,5190.30
Maluku Tenggara Barat,203.98,203.25,207.81,208.25,823.29,160.45,179.36,180.75,191.83,712.38,556.67,567.20,579.67,605.00,2308.54,921.10,949.80,968.24,1005.08,3844.22
Maluku Tenggara,359.84,351.24,373.42,381.84,1466.33,133.27,148.21,152.73,159.02,593.23,626.20,644.16,651.17,688.48,2610.01,1119.31,1143.61,1177.32,1229.33,4669.57
Maluku Tengah,751.81,732.93,779.73,762.11,3026.58,524.60,561.76,578.27,602.09,2266.72,1661.07,1703.05,1729.04,1807.64,6900.80,2937.48,2997.74,3087.04,3171.85,12194.10
Buru,277.61,277.43,294.71,277.62,1127.36,173.83,185.81,187.94,195.40,742.99,353.40,365.19,368.59,390.78,1477.95,804.84,828.43,851.24,863.80,3348.30
Kepulauan Aru,717.96,704.61,771.19,863.00,3056.76,121.60,139.26,145.00,153.94,559.79,357.50,368.98,377.96,402.71,1507.15,1197.06,1212.85,1294.15,1419.65,5123.71
Seram Bagian Barat,370.39,359.92,397.41,375.10,1502.81,174.33,181.02,198.49,213.65,767.50,498.12,509.00,513.45,539.14,2059.71,1042.84,1049.94,1109.35,1127.89,4330.02
Seram Bagian Timur,454.26,429.38,456.38,440.39,1780.42,85.77,94.68,99.98,105.43,385.87,386.09,397.77,400.58,422.69,1607.12,926.12,921.83,956.94,968.51,3773.40
Maluku Barat Daya,245.33,244.96,292.17,291.64,1074.11,326.86,198.32,374.19,421.31,1320.68,251.43,256.79,256.56,277.78,1042.56,823.62,700.07,922.92,990.73,3437.34
Buru Selatan,182.84,179.89,191.51,192.08,746.31,57.20,61.40,63.17,66.24,248.00,240.00,245.89,248.90,260.85,995.64,480.04,487.18,503.57,519.17,1989.95
Kota Ambon,230.70,224.22,230.10,225.63,910.65,448.83,483.77,497.91,516.67,1947.18,4350.15,4434.27,4540.20,4834.03,18158.66,5029.69,5142.26,5268.21,5576.34,21016.49
Kota Tual,350.10,356.91,373.60,391.56,1472.16,87.01,91.87,96.42,101.70,377.00,421.13,432.28,441.57,459.77,1754.75,858.24,881.06,911.59,953.03,3603.92
Halmahera Barat,315.97,322.57,332.85,340.64,1312.02,70.97,71.72,74.33,77.94,294.97,375.58,392.10,390.89,404.05,1562.61,762.52,786.39,798.06,822.64,3169.60
Halmahera Tengah,3567.41,3533.79,3392.17,4395.33,14888.71,7063.11,8646.34,9604.59,12743.49,38057.53,484.60,506.74,470.73,552.74,2014.81,11115.12,12686.87,13467.49,17691.56,54961.04
Kepulauan Sula,373.17,386.29,391.74,404.13,1555.32,132.23,139.01,139.51,159.59,570.35,369.11,384.78,364.92,372.61,1491.42,874.51,910.09,896.16,936.32,3617.08
Halmahera Selatan,1961.26,2030.01,2242.01,2331.89,8565.17,4134.04,4501.28,5006.68,5047.99,18689.99,849.65,864.45,872.20,924.94,3511.25,6944.95,7395.74,8120.90,8304.83,30766.41
Halmahera Utara,946.79,979.48,1083.12,1165.38,4174.77,198.12,192.53,198.07,203.26,791.97,695.76,703.59,713.80,764.08,2877.23,1840.67,1875.60,1994.99,2132.72,7843.97
Halmahera Timur,981.67,1753.04,1653.31,1631.92,6019.95,143.97,144.07,147.77,153.36,589.17,420.55,418.17,423.10,445.97,1707.79,1546.19,2315.28,2224.18,2231.25,8316.90
Pulau Morotai,240.59,249.91,260.85,262.17,1013.53,65.25,62.68,69.02,69.58,266.52,218.27,226.00,229.06,241.84,915.17,524.10,538.60,558.93,573.59,2195.22
Pulau Taliabu,379.17,378.40,391.97,399.25,1548.80,27.92,29.43,29.67,29.93,116.95,146.70,150.38,153.62,160.27,610.97,553.79,558.21,575.26,589.46,2276.72
Kota Ternate,171.13,176.88,180.77,184.68,713.45,326.19,338.53,335.24,364.55,1364.52,3515.17,3592.87,3521.62,3864.80,14494.46,4012.49,4108.28,4037.63,4414.03,16572.43
Kota Tidore Kepulauan,234.82,243.84,246.75,255.46,980.88,85.57,87.53,90.40,94.20,357.70,666.31,692.41,667.78,713.52,2740.04,986.71,1023.79,1004.93,1063.19,4078.61
Fakfak,257.83,259.98,262.13,259.47,1039.41,475.12,511.51,500.44,544.56,2031.62,859.79,848.51,877.89,907.39,3493.57,1592.74,1620.00,1640.46,1711.42,6564.60
